Tweet_id,Name,Id,Follower_count,Tweet,Favourites_count,Retweet_count,Topic_name,Fav_R,Fol_R,Ret_R,Event_Engagement,User_Influence,Polarity,Sentiment_Score,User_Activity,Cred_Score
1211133065248071682,jackzenert,14158027,3582,"The SNOW is amazing... a winter wonderland.  Whether you ski, or just enjoy the beauty... I have never seen it so amazing.  A friend has her condo available  - a few nights in the mountains? Available January 6th-12th.... https://t.co/ctG8ctifWa",716,238,winter,0.6709061597527587,0.7172814825893646,0.6293571053611898,1.3002632651139485,0.39368438003082523,positive,0.8188405797101449,0.0072992700729927005,0.32236474596726994
1211133065533313024,Matthew33680935,995089719716347904,72,Just the beginning. Love ya man whatever school gets this guy. It’s not only getting a fantastic football player but a fantastic person,14,4,football,0.2019145319666857,0.2856250321477305,0.13070777574993042,0.33262230771661616,0.07448929155901153,positive,0.7151162790697675,0.001937984496124031,0.053268505010223365
1211133066631991297,ThrowItTo8,238300251,5085,Bookie Blew The Block Up.. Trevor Lawrence Dropped His Head,1017,339,0,0.5075550081780268,0.559459427958119,0.4645910235758287,0.9721460317538555,0.2625042145893553,positive,0.8429752066115702,0.004132231404958678,0.22128454452986976
1211133067655630848,thesteelersnat,50080459,5129,Football truisms that remain true: having to settle for short field goals in the first half will come back to bite you,1025,341,football,0.5169619324625734,0.5687164658160263,0.47386427737981646,0.9908262098423899,0.23480682075809126,positive,0.7151162790697675,0.001937984496124031,0.16791417996072805
1211133067953356800,AndrewSousa79,727033567,245,"Different title, same game man",49,16,0,0.28669981597266037,0.36089998933796785,0.22581879706461114,0.5125186130372715,0.1352665449215641,negative,0.15702479338842976,0.004132231404958678,0.021240201268675353
1211133071388499969,CricSoccer,464734828,1362,Spurs draw 2-2 at Norwich amid VAR controversy https://t.co/Qo0VraVDTS #Football,272,90,football,0.4182469998687983,0.48048059665399584,0.36634181925386206,0.7845888191226604,0.18457395400985635,positive,0.7151162790697675,0.001937984496124031,0.13199183920472288
1211133073019949057,attilaLSG,2339529710,1853,@EliteMayfield @BarryBettah @GriffinPoole2 @solomonad2 @FriedWillBarton “QB pressure doesn’t affect football games” ok buddy,370,123,football,0.44111707013611384,0.5009619999931271,0.3914710080215192,0.832588078157633,0.19628179867987805,positive,0.7151162790697675,0.001937984496124031,0.1403643095210756
1211133073384980485,MrRandyWATTsun,473088450,1831,@ChelsIsRight Football... me and the other CB ran into each other going for an interception at practice,366,122,football,0.44030881449632947,0.500167315079956,0.39081340679868937,0.8311222212950189,0.1962521044085049,negative,0.28488372093023256,0.003875968992248062,0.05590902974428338
1211133074072727554,ucupita,245214242,22,I got: You'll get the gift you've been wishing for. https://t.co/3Lp1wZYAVA,4,1,0,0.11795062367323148,0.20554617314367543,0.05524669112234278,0.17319731479557426,0.04237181198368666,positive,0.8429752066115702,0.004132231404958678,0.03571838696145487
1211133074819440645,Cdburnett7,2902988481,158,L of the year,31,10,0,0.253992843130987,0.3322901555694678,0.1911221500937211,0.44511499322470816,0.11666544724524863,positive,0.8429752066115702,0.004132231404958678,0.0983460794959947
